Year,Lg,Tm,City,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2007,NFL,Arizona Cardinals,Phoenix,8,8,0,2nd of 4,,404,399,5,Whisenhunt,Pace,Warner,James,Fitzgerald,7,12,27,17,22,15,13,32,0.3,-4.3,-3.9,1.9,-5.9
2006,NFL,Arizona Cardinals,Phoenix,5,11,0,4th of 4,,314,389,-75,Green,Boldin,Leinart,James,Boldin,19,18,29,29,12,25,25,32,-4.7,-2.2,-6.9,-2.6,-4.3
2005,NFL,Arizona Cardinals,Phoenix,5,11,0,3rd of 4,,311,387,-76,Green,Fitzgerald,Warner,Shipp,Fitzgerald,17,8,26,8,30,23,3,32,-4.8,-0.2,-5,-2,-3
2004,NFL,Arizona Cardinals,Phoenix,6,10,0,3rd of 4,,284,322,-38,Green,Berry,McCown,Smith,Fitzgerald,26,27,12,12,18,21,26,32,-2.4,-2.5,-4.9,-5.1,0.2
2003,NFL,Arizona Cardinals,Phoenix,4,12,0,4th of 4,,225,452,-227,McGinnis,Boldin,Blake,Shipp,Boldin,32,27,32,26,30,32,28,32,-14.2,1.6,-12.6,-6.3,-6.2
2002,NFL,Arizona Cardinals,Phoenix,5,11,0,4th of 4,,262,417,-155,McGinnis,Shipp,Plummer,Shipp,Boston,29,27,29,29,27,31,30,32,-9.7,-0.2,-9.9,-5.4,-4.5
2001,NFL,Arizona Cardinals,Phoenix,7,9,0,4th of 5,,295,343,-48,McGinnis,Boston,Plummer,Pittman,Boston,20,18,22,28,18,21,29,31,-3,-1.2,-4.2,-1.5,-2.6
2000,NFL,Arizona Cardinals,Phoenix,3,13,0,5th of 5,,210,443,-233,"Tobin,McGinnis",Pittman,Plummer,Pittman,Boston,29,24,30,30,30,30,27,31,-14.6,-0.7,-15.2,-7.2,-8.1
1999,NFL,Arizona Cardinals,Phoenix,6,10,0,4th of 5,,245,382,-137,Tobin,Rice,Plummer,Murrell,Sanders,30,29,27,22,30,27,29,31,-8.6,-0.2,-8.8,-5.5,-3.2
1998,NFL,Arizona Cardinals*,Phoenix,9,7,0,2nd of 5,Lost Div,325,378,-53,Tobin,Plummer,Plummer,Murrell,Sanders,15,13,24,21,11,18,17,30,-3.3,-4.1,-7.4,-1.6,-5.8
1997,NFL,Arizona Cardinals,Phoenix,4,12,0,5th of 5,,283,379,-96,Tobin,Williams,Plummer,McElroy,Moore,25,24,25,27,29,27,29,30,-6,-0.4,-6.4,-2.6,-3.8
1996,NFL,Arizona Cardinals,Phoenix,7,9,0,4th of 5,,300,397,-97,Tobin,Williams,Esiason,Johnson,Moore,22,13,26,21,26,26,17,30,-6.1,-1.4,-7.5,-1.7,-5.8
1995,NFL,Arizona Cardinals,Phoenix,4,12,0,5th of 5,,275,422,-147,Ryan,Williams,Krieg,Hearst,Centers,27,24,30,26,16,29,27,30,-9.2,1.7,-7.5,-3.5,-4
1994,NFL,Arizona Cardinals,Phoenix,8,8,0,3rd of 5,,235,267,-32,Ryan,Williams,Beuerlein,Moore,Clark,27,25,4,3,8,17,10,28,-2,-0.3,-2.3,-5.6,3.3
1993,NFL,Phoenix Cardinals,Phoenix,7,9,0,4th of 5,,326,269,57,Bugel,Beuerlein,Beuerlein,Moore,Proehl,9,8,7,21,21,8,14,28,3.6,0.4,3.9,1.9,2.1
1992,NFL,Phoenix Cardinals,Phoenix,4,12,0,5th of 5,,243,332,-89,Bugel,McDonald,Chandler,Johnson,Hill,24,17,20,24,26,23,19,28,-5.6,2.5,-3.1,-2.9,-0.1
1991,NFL,Phoenix Cardinals,Phoenix,4,12,0,5th of 5,,196,344,-148,Bugel,McDonald,Tupa,Johnson,Jones,27,27,22,16,14,24,27,28,-9.3,3.8,-5.4,-4.9,-0.5
1990,NFL,Phoenix Cardinals,Phoenix,5,11,0,5th of 5,,268,396,-128,Bugel,Rosenbach,Rosenbach,Johnson,Proehl,24,18,24,18,22,26,19,28,-8,1.3,-6.7,-1.9,-4.8
1989,NFL,Phoenix Cardinals,Phoenix,5,11,0,4th of 5,,258,377,-119,"Stallings,Kuhlmann",McDonald,Hogeboom,Ferrell,Jones,25,25,20,26,25,25,25,28,-7.4,0.3,-7.1,-4,-3.1
1988,NFL,Phoenix Cardinals,Phoenix,7,9,0,4th of 5,,344,398,-54,Stallings,Sharpe,Lomax,Ferrell,Green,11,4,27,14,22,19,7,28,-3.4,0.2,-3.2,0.5,-3.7
1987,NFL,St. Louis Cardinals,St. Louis,7,8,0,3rd of 5,,362,368,-6,Stallings,Lomax,Lomax,Mitchell,Smith,7,6,23,25,10,14,15,28,-0.4,-0.5,-0.9,2.2,-3.1
1986,NFL,St. Louis Cardinals,St. Louis,4,11,1,5th of 5,,218,351,-133,Stallings,Smith,Lomax,Mitchell,Smith,28,26,21,4,19,25,20,28,-8.3,0.2,-8.1,-6.5,-1.6
1985,NFL,St. Louis Cardinals,St. Louis,5,11,0,5th of 5,,278,414,-136,Hanifan,Mitchell,Lomax,Mitchell,Tilley,27,17,24,15,22,25,19,28,-8.5,-1.6,-10.1,-4.5,-5.6
1984,NFL,St. Louis Cardinals,St. Louis,9,7,0,3rd of 5,,423,345,78,Hanifan,Lomax,Lomax,Anderson,Green,4,3,17,8,17,8,3,28,4.9,0.5,5.4,6.2,-0.9
1983,NFL,St. Louis Cardinals,St. Louis,8,7,1,3rd of 5,,374,428,-54,Hanifan,Anderson,Lomax,Anderson,Green,9,17,25,6,15,21,15,28,-3.4,2.3,-1.1,2.5,-3.6
1982,NFL,St. Louis Cardinals*,St. Louis,5,4,0,3rd of 5,Lost WC,135,170,-35,Hanifan,Greer,Lomax,Anderson,Tilley,25,23,12,14,16,23,22,28,-3.9,1.2,-2.7,-4.1,1.4
1981,NFL,St. Louis Cardinals,St. Louis,7,9,0,5th of 5,,315,408,-93,Hanifan,Anderson,Hart,Anderson,Tilley,18,19,27,23,20,25,24,28,-5.8,1.1,-4.7,0.1,-4.8
1980,NFL,St. Louis Cardinals,St. Louis,5,11,0,4th of 5,,299,350,-51,Hanifan,Anderson,Hart,Anderson,Tilley,19,22,21,19,17,20,19,28,-3.2,0.8,-2.4,-1.7,-0.7
1979,NFL,St. Louis Cardinals,St. Louis,5,11,0,5th of 5,,307,358,-51,"Wilkinson,Wilson",Anderson,Hart,Anderson,Tilley,17,10,21,16,21,20,13,28,-3.2,0.4,-2.7,-0.7,-2
1978,NFL,St. Louis Cardinals,St. Louis,6,10,0,4th of 5,,248,296,-48,Wilkinson,Dierdorf,Hart,Otis,Tilley,23,7,15,13,7,23,7,28,-3,0.5,-2.5,-2.6,0
1977,NFL,St. Louis Cardinals,St. Louis,7,7,0,3rd of 5,,272,287,-15,Coryell,Metcalf,Hart,Metcalf,Gray,11,7,23,24,19,18,15,28,-1.1,-0.3,-1.4,2.6,-4
1976,NFL,St. Louis Cardinals,St. Louis,10,4,0,3rd of 5,,309,267,42,Coryell,Hart,Hart,Otis,Harris,8,3,16,12,14,12,6,28,3,-0.4,2.6,3.5,-1
1975,NFL,St. Louis Cardinals*,St. Louis,11,3,0,1st of 5,Lost Div,356,276,80,Coryell,Metcalf,Hart,Otis,Gray,7,5,11,18,16,9,10,26,5.7,-2.2,3.5,3.4,0.1
1974,NFL,St. Louis Cardinals*,St. Louis,10,4,0,1st of 5,Lost Div,285,218,67,Coryell,Hart,Hart,Metcalf,Gray,9,10,8,17,4,7,12,26,4.8,1,5.8,2.8,3
1973,NFL,St. Louis Cardinals,St. Louis,4,9,1,4th of 5,,286,365,-79,Coryell,Anderson,Hart,Anderson,Smith,11,12,23,26,18,19,25,26,-5.6,2.3,-3.3,1.8,-5.1
1972,NFL,St. Louis Cardinals,St. Louis,4,9,1,4th of 5,,193,303,-110,Hollway,Anderson,Cuozzo,Anderson,Gillette,23,25,18,25,23,21,24,26,-7.9,2.2,-5.7,-4.5,-1.2
1971,NFL,St. Louis Cardinals,St. Louis,4,9,1,4th of 5,,231,279,-48,Hollway,Gilliam,Hart,Lane,Gilliam,20,14,15,20,23,17,19,26,-3.4,-0.8,-4.2,-4,-0.2
1970,NFL,St. Louis Cardinals,St. Louis,8,5,1,3rd of 5,,325,228,97,Winner,Lane,Hart,Lane,Gilliam,4,3,5,10,11,4,5,26,6.9,0.5,7.4,3.8,3.6
1969,NFL,St. Louis Cardinals,St. Louis,4,9,1,3rd of 4,,314,389,-75,Winner,Gilliam,Johnson,Edwards,Gilliam,5,9,14,16,10,12,16,16,-5.4,-1.7,-7,0.8,-7.8
1968,NFL,St. Louis Cardinals,St. Louis,9,4,1,2nd of 4,,325,289,36,Winner,Smith,Hart,Crenshaw,Smith,4,7,8,12,14,7,10,16,2.6,-0.7,1.8,1.7,0.1
1967,NFL,St. Louis Cardinals,St. Louis,6,7,1,3rd of 4,,333,356,-23,Winner,Smith,Hart,Roland,Smith,8,4,12,10,16,10,6,16,-1.6,-0.7,-2.4,1.4,-3.8
1966,NFL,St. Louis Cardinals,St. Louis,8,5,1,4th of 8,,264,265,-1,Winner,Wilson,Johnson,Roland,Smith,11,13,6,1,10,6,8,15,-0.1,-2.3,-2.3,-5.7,3.4
1965,NFL,St. Louis Cardinals,St. Louis,5,9,0,5th of 7,,296,309,-13,Lemm,Fischer,Johnson,Triplett,Conrad,9,6,7,9,8,8,6,14,-0.9,-6.1,-7,-4.6,-2.4
1964,NFL,St. Louis Cardinals,St. Louis,9,3,2,2nd of 7,,357,331,26,Lemm,Fischer,Johnson,Crow,Conrad,3,2,11,8,6,5,3,14,1.9,-2.5,-0.6,2.5,-3.1
1963,NFL,St. Louis Cardinals,St. Louis,9,5,0,3rd of 7,,341,283,58,Lemm,Johnson,Johnson,Childress,Randle,4,4,6,5,7,6,4,14,4.1,-0.1,4,1.2,2.8
1962,NFL,St. Louis Cardinals,St. Louis,4,9,1,6th of 7,,287,361,-74,Lemm,Hill,Johnson,Crow,Randle,10,3,10,9,14,11,7,14,-5.3,-2,-7.3,-3.7,-3.6
1961,NFL,St. Louis Cardinals,St. Louis,7,7,0,4th of 7,,279,267,12,"Ivy,Willsey,Prochaska,Drulis",Norton,Etcheverry,Gautt,Randle,10,13,4,5,5,7,12,14,0.9,-2.4,-1.5,-2.6,1.1
1960,NFL,St. Louis Cardinals,St. Louis,6,5,1,4th of 6,,288,230,58,Ivy,Norton,Roach,Crow,Randle,4,2,5,1,8,4,1,13,4.8,0.3,5.2,1.8,3.3
1959,NFL,Chicago Cardinals,Chicago,2,10,0,6th of 6,,234,324,-90,Ivy,,Hill,Crow,Lewis,10,12,11,10,12,11,11,12,-7.5,-0.7,-8.2,-1.2,-7.1
1958,NFL,Chicago Cardinals,Chicago,2,9,1,5th of 6,,261,356,-95,Ivy,,Reynolds,Matson,Lewis,5,6,11,12,12,11,11,12,-7.9,0.5,-7.4,0.8,-8.2
1957,NFL,Chicago Cardinals,Chicago,3,9,0,6th of 6,,200,299,-99,Richards,,McHan,Matson,Nagler,10,10,11,10,10,12,10,12,-8.3,0.7,-7.6,-1.1,-6.4
1956,NFL,Chicago Cardinals,Chicago,7,5,0,2nd of 6,,240,182,58,Richards,,McHan,Matson,Stonesifer,7,8,2,7,1,4,8,12,4.8,-1.4,3.4,-0.1,3.5
1955,NFL,Chicago Cardinals,Chicago,4,7,1,4th of 6,,224,252,-28,Richards,,McHan,Matson,Stonesifer,9,12,8,7,6,9,12,12,-2.3,3.6,1.2,-0.7,2
1954,NFL,Chicago Cardinals,Chicago,2,10,0,6th of 6,,183,347,-164,Stydahar,,McHan,Matson,Matson,11,10,11,9,10,11,11,12,-13.7,-0.8,-14.5,-7.6,-6.9
1953,NFL,Chicago Cardinals,Chicago,1,10,1,6th of 6,,190,337,-147,Stydahar,,Root,Trippi,Stonesifer,10,10,10,10,11,11,11,12,-12.3,2.6,-9.6,-3.7,-5.9
1952,NFL,Chicago Cardinals,Chicago,4,8,0,5th of 6,,172,221,-49,Kuharich,,Trippi,Trippi,Stonesifer,12,11,3,6,7,10,8,12,-4.1,0,-4.1,-8.5,4.4
1951,NFL,Chicago Cardinals,Chicago,3,9,0,6th of 6,,210,287,-77,"Lambeau,Isbell,Handler",,Trippi,Trippi,Polsfoot,10,5,9,6,6,9,6,12,-6.4,2.5,-3.9,-1.9,-1.9
1950,NFL,Chicago Cardinals,Chicago,5,7,0,5th of 6,,233,287,-54,Lambeau,,Hardy,Harder,Shaw,9,8,7,9,7,9,10,13,-4.5,5.7,1.2,2.9,-1.7
1949,NFL,Chicago Cardinals,Chicago,6,5,1,3rd of 5,,360,301,59,"Parker,Handler",,Christman,Angsman,Kutner,2,5,7,8,2,4,7,10,4.9,-0.2,4.7,7.8,-3.1
1948,NFL,Chicago Cardinals*,Chicago,11,1,0,1st of 5,Lost Champ,395,226,169,Conzelman,,Mallouf,Trippi,Kutner,1,1,3,7,1,3,4,10,14.1,-0.9,13.2,9.9,3.3
1947,NFL,Chicago Cardinals*,Chicago,9,3,0,1st of 5,Won Champ,306,231,75,Conzelman,,Christman,Angsman,Kutner,3,3,3,7,3,2,4,10,6.3,1.9,8.1,4.4,3.7
1946,NFL,Chicago Cardinals,Chicago,6,5,0,3rd of 5,,260,198,62,Conzelman,,Christman,Harder,Dewell,3,3,6,6,6,3,3,10,5.6,-0.6,5.1,4.5,0.6
1945,NFL,Chicago Cardinals,Chicago,1,9,0,5th of 5,,98,228,-130,Handler,,Christman,Seno,Rucinski,9,8,9,7,9,9,7,10,-13,4.8,-8.2,-7,-1.2
1944,NFL,Chi/Pit Cards/Steelers,Chicago,0,10,0,5th of 6,,108,328,-220,"Kiesling,Handler",,Grigas,Grigas,Bova,8,8,10,10,10,10,9,11,-22,4.1,-17.9,-5.5,-12.3
1943,NFL,Chicago Cardinals,Chicago,0,10,0,4th of 5,,95,238,-143,Handler,,Cahill,Grigas,Rucinski,7,7,8,6,8,7,7,10,-14.3,3.9,-10.4,-9.1,-1.4
1942,NFL,Chicago Cardinals,Chicago,3,8,0,4th of 5,,98,209,-111,Conzelman,,Schwenk,Goldberg,Martin,9,6,7,7,8,9,6,10,-10.1,2.5,-7.5,-7,-0.5
1941,NFL,Chicago Cardinals,Chicago,3,7,1,4th of 5,,127,197,-70,Conzelman,,Mallouf,Goldberg,Dewell,6,4,7,6,5,6,5,10,-6.4,4.8,-1.6,-3.3,1.8
1940,NFL,Chicago Cardinals,Chicago,2,7,2,5th of 5,,139,222,-83,Conzelman,,McCullough,Goldberg,Tinsley,6,8,10,6,7,8,8,10,-7.5,3.3,-4.3,-1.3,-2.9
1939,NFL,Chicago Cardinals,Chicago,1,10,0,5th of 5,,84,254,-170,Nevers,,Robbins,Goldberg,Smith,10,10,10,8,9,10,10,10,-15.5,5.8,-9.6,-5.5,-4.2
1938,NFL,Chicago Cardinals,Chicago,2,9,0,5th of 5,,111,168,-57,Creighton,,Robbins,Robbins,Tinsley,9,6,8,5,8,8,6,10,-5.2,2.4,-2.8,-2.8,0
1937,NFL,Chicago Cardinals,Chicago,5,5,1,4th of 5,,135,165,-30,Creighton,,Coffee,Grosvenor,Tinsley,5,6,7,7,3,7,7,10,-2.7,2.6,-0.2,0.1,-0.2
1936,NFL,Chicago Cardinals,Chicago,3,8,1,4th of 4,,74,143,-69,Creighton,,Vaughan,Grosvenor,Smith,8,5,5,4,2,6,5,9,-5.8,4.3,-1.4,-4.9,3.5
1935,NFL,Chicago Cardinals,Chicago,6,4,2,3rd of 4,,99,97,2,Creighton,,Sarboe,Russell,Smith,6,6,3,3,6,5,6,9,0.2,2.5,2.7,-2,4.7
1934,NFL,Chicago Cardinals,Chicago,5,6,0,4th of 6,,80,84,-4,Schissler,,Sarboe,Russell,Smith,8,10,3,1,5,7,6,11,-0.4,2.7,2.3,-3.6,5.9
1933,NFL,Chicago Cardinals,Chicago,1,9,1,5th of 5,,52,101,-49,Schissler,,Lillard,Lillard,Tipton,9,9,7,6,8,7,8,10,-4.5,-0.3,-4.7,-4,-0.8
1932,NFL,Chicago Cardinals,Chicago,2,6,2,6th of 8,,72,114,-42,Chevigny,,Holmer,Holmer,Kassel,5,4,7,1,1,6,4,8,-4.2,1.1,-3.1,0.2,-3.3
1931,NFL,Chicago Cardinals,Chicago,5,4,0,4th of 10,,120,128,-8,"Nevers,Andrews",,,,,2,1,10,1,1,5,1,10,-0.9,3.9,3,5.4,-2.3
1930,NFL,Chicago Cardinals,Chicago,5,6,2,7th of 11,,128,132,-4,Nevers,,,,,6,1,6,1,1,6,1,11,-0.3,1.4,1.1,-0.6,1.7
1929,NFL,Chicago Cardinals,Chicago,6,6,1,4th of 12,,154,83,71,Scanlon,,,,,4,1,3,1,1,3,1,12,5,,,,
2018,NFL,Atlanta Falcons,Atlanta,7,9,0,2nd of 4,,414,423,-9,Quinn,Ryan,Ryan,Coleman,Jones,10,6,25,28,15,17,17,32,-0.6,0.4,-0.1,2.5,-2.6
2017,NFL,Atlanta Falcons*,Atlanta,10,6,0,3rd of 4,Lost Div,353,315,38,Quinn,Ryan,Ryan,Freeman,Jones,15,8,8,9,19,11,7,32,2.4,1.9,4.3,1.1,3.2
2016,NFL,Atlanta Falcons*,Atlanta,11,5,0,1st of 4,Lost SB,540,406,134,Quinn,Ryan,Ryan,Freeman,Jones,1,2,27,25,4,2,4,32,8.4,0.1,8.5,10.5,-2
2015,NFL,Atlanta Falcons,Atlanta,8,8,0,2nd of 4,,339,345,-6,Quinn,Jones,Ryan,Freeman,Jones,21,7,14,16,27,15,10,32,-0.4,-3.4,-3.8,-4,0.3
2014,NFL,Atlanta Falcons,Atlanta,6,10,0,3rd of 4,,381,417,-36,Smith,Ryan,Ryan,Jackson,Jones,12,8,27,32,11,24,23,32,-2.3,-1.6,-3.8,0.6,-4.4
2013,NFL,Atlanta Falcons,Atlanta,4,12,0,3rd of 4,,353,443,-90,Smith,Ryan,Ryan,Jackson,Douglas,20,14,27,27,24,25,26,32,-5.6,2.9,-2.8,1.2,-3.9
2012,NFL,Atlanta Falcons*,Atlanta,13,3,0,1st of 4,Lost Conf,419,299,120,Smith,Ryan,Ryan,Turner,White,7,8,5,24,5,5,14,32,7.5,-1.1,6.4,2,4.5
2011,NFL,Atlanta Falcons*,Atlanta,10,6,0,2nd of 4,Lost WC,402,350,52,Smith,Ryan,Ryan,Turner,White,7,10,18,12,5,10,7,32,3.3,0.3,3.5,1.8,1.7
2010,NFL,Atlanta Falcons*,Atlanta,13,3,0,1st of 4,Lost Div,414,288,126,Smith,White,Ryan,Turner,White,5,16,5,16,3,4,14,32,7.9,-1.8,6.1,3.8,2.2
2009,NFL,Atlanta Falcons,Atlanta,9,7,0,2nd of 4,,363,325,38,Smith,White,Ryan,Turner,White,13,16,14,21,11,15,19,32,2.4,2.7,5,2.7,2.3
2008,NFL,Atlanta Falcons*,Atlanta,11,5,0,2nd of 4,Lost WC,391,325,66,Smith,White,Ryan,Turner,White,10,6,11,24,21,11,19,32,4.1,-0.3,3.8,1.3,2.5
2007,NFL,Atlanta Falcons,Atlanta,4,12,0,4th of 4,,259,414,-155,"Petrino,Thomas",White,Harrington,Dunn,White,29,23,29,29,10,30,27,32,-9.7,-0.9,-10.6,-5.8,-4.8
2006,NFL,Atlanta Falcons,Atlanta,7,9,0,3rd of 4,,292,328,-36,Mora,Vick,Vick,Dunn,Crumpler,25,12,15,22,8,21,16,32,-2.3,-0.8,-3,-2.8,-0.2
2005,NFL,Atlanta Falcons,Atlanta,8,8,0,3rd of 4,,351,341,10,Mora,Dunn,Vick,Dunn,Crumpler,14,12,18,22,17,16,20,32,0.6,-1.9,-1.2,1.1,-2.3
2004,NFL,Atlanta Falcons*,Atlanta,11,5,0,1st of 4,Lost Conf,340,337,3,Mora,Vick,Vick,Dunn,Crumpler,16,20,14,14,17,14,17,32,0.2,-2.4,-2.2,-1.8,-0.4
2003,NFL,Atlanta Falcons,Atlanta,5,11,0,4th of 4,,299,422,-123,"Reeves,Phillips",Brooking,Johnson,Duckett,Price,20,29,30,32,14,28,31,32,-7.7,0.3,-7.4,-2,-5.4
2002,NFL,Atlanta Falcons*,Atlanta,9,6,1,2nd of 4,Lost Div,402,314,88,Reeves,Vick,Vick,Dunn,Finneran,5,14,8,19,5,4,16,32,5.5,-0.4,5.1,3.5,1.5
2001,NFL,Atlanta Falcons,Atlanta,7,9,0,4th of 5,,291,377,-86,Reeves,Chandler,Chandler,Smith,Mathis,23,15,24,30,13,26,28,31,-5.4,0.7,-4.7,-2.7,-2
2000,NFL,Atlanta Falcons,Atlanta,4,12,0,5th of 5,,252,413,-161,Reeves,Anderson,Chandler,Anderson,Jefferson,27,30,26,25,23,27,29,31,-10.1,1.5,-8.6,-5.7,-2.9
1999,NFL,Atlanta Falcons,Atlanta,5,11,0,3rd of 5,,285,380,-95,Reeves,Mathis,Chandler,Oxendine,Mathis,23,27,25,16,31,26,28,31,-5.9,-1.1,-7.1,-4,-3
1998,NFL,Atlanta Falcons*,Atlanta,14,2,0,1st of 5,Lost SB,442,289,153,Reeves,Anderson,Chandler,Anderson,Martin,4,7,4,8,1,3,7,30,9.6,0.4,10,7,3
1997,NFL,Atlanta Falcons,Atlanta,7,9,0,3rd of 5,,320,361,-41,Reeves,Smith,Chandler,Anderson,Emanuel,18,23,21,20,11,19,23,30,-2.6,-1.6,-4.2,-1.2,-2.9
1996,NFL,Atlanta Falcons,Atlanta,3,13,0,4th of 5,,309,461,-152,Jones,Anderson,Hebert,Anderson,Emanuel,19,17,30,29,29,29,26,30,-9.5,0.4,-9.1,-0.2,-8.9
1995,NFL,Atlanta Falcons*,Atlanta,9,7,0,2nd of 5,Lost WC,362,349,13,Jones,George,George,Heyward,Metcalf,11,10,19,29,4,15,23,30,0.8,-0.7,0.1,0.9,-0.9
1994,NFL,Atlanta Falcons,Atlanta,7,9,0,3rd of 4,,317,385,-68,Jones,George,George,Heyward,Mathis,15,7,24,27,18,23,22,28,-4.3,0,-4.3,-1.2,-3.1
1993,NFL,Atlanta Falcons,Atlanta,6,10,0,3rd of 4,,316,385,-69,Glanville,Hinton,Hebert,Pegram,Rison,12,11,28,25,28,23,21,28,-4.3,-0.1,-4.4,0.8,-5.2
1992,NFL,Atlanta Falcons,Atlanta,6,10,0,3rd of 4,,327,414,-87,Glanville,Rison,Miller,Broussard,Rison,11,10,28,28,23,22,22,28,-5.4,1.4,-4.1,2.3,-6.4
1991,NFL,Atlanta Falcons*,Atlanta,10,6,0,2nd of 4,Lost Div,361,338,23,Glanville,Sanders,Miller,Broussard,Haynes,5,8,20,24,14,12,15,28,1.4,2,3.4,4.7,-1.3
1990,NFL,Atlanta Falcons,Atlanta,5,11,0,4th of 4,,348,365,-17,Glanville,Rison,Miller,Rozier,Rison,10,10,21,19,18,17,17,28,-1.1,-1.1,-2.1,0.9,-3.1
1989,NFL,Atlanta Falcons,Atlanta,3,13,0,4th of 4,,279,437,-158,"Campbell,Hanifan",Miller,Miller,Settle,Collins,22,24,28,28,5,26,27,28,-9.9,0.8,-9.1,-3.2,-5.9
1988,NFL,Atlanta Falcons,Atlanta,5,11,0,4th of 4,,244,315,-71,Campbell,Case,Miller,Settle,Settle,25,25,11,25,12,22,27,28,-4.4,-0.1,-4.5,-5,0.5
1987,NFL,Atlanta Falcons,Atlanta,3,12,0,4th of 4,,205,436,-231,Campbell,Fralic,Campbell,Riggs,Dixon,28,28,28,28,28,28,28,28,-15.4,1.6,-13.8,-7.9,-5.9
1986,NFL,Atlanta Falcons,Atlanta,7,8,1,3rd of 4,,280,280,0,Henning,Fralic,Archer,Riggs,Brown,21,17,6,7,12,16,11,28,0,-0.5,-0.5,-2.8,2.3
1985,NFL,Atlanta Falcons,Atlanta,4,12,0,4th of 4,,282,452,-170,Henning,Riggs,Archer,Riggs,Johnson,26,20,28,25,9,27,23,28,-10.6,1.7,-8.9,-2.1,-6.8
1984,NFL,Atlanta Falcons,Atlanta,4,12,0,4th of 4,,281,382,-101,Henning,Riggs,Bartkowski,Riggs,Bailey,22,19,22,15,23,23,19,28,-6.3,-0.3,-6.6,-3.7,-2.9
1983,NFL,Atlanta Falcons,Atlanta,7,9,0,4th of 4,,370,389,-19,Henning,Andrews,Bartkowski,Andrews,Bailey,10,8,23,25,14,18,18,28,-1.2,2,0.9,2.9,-2.1
1982,NFL,Atlanta Falcons*,Atlanta,5,4,0,1st of 4,Lost WC,183,199,-16,Bennett,Andrews,Bartkowski,Andrews,Andrews,14,9,21,14,7,18,11,28,-1.8,-2,-3.8,-0.5,-3.3
1981,NFL,Atlanta Falcons,Atlanta,7,9,0,2nd of 4,,426,355,71,Bennett,Andrews,Bartkowski,Andrews,Jenkins,2,7,18,14,9,7,13,28,4.4,-0.5,4,6.5,-2.6
1980,NFL,Atlanta Falcons*,Atlanta,12,4,0,1st of 4,Lost Div,405,272,133,Bennett,Andrews,Bartkowski,Andrews,Jenkins,5,3,5,16,1,4,9,28,8.3,-0.5,7.8,4.5,3.4
