Overall Rank (1=Best),City,Total Score,‘Emotional & Physical Well-Being’ Rank,‘Income & Employment’ Rank ,‘Community & Environment’ Rank
143,"Rochester, NY",49.76,134,142,140
144,"San Bernardino, CA",49.56,124,134,166
145,"Buffalo, NY",49.22,144,126,117
146,"Fresno, CA",48.86,127,119,158
147,"Milwaukee, WI",48.75,122,172,147
148,"Baton Rouge, LA",48.56,140,93,168
149,"Stockton, CA",48.35,118,150,165
150,"Spokane, WA",48.08,142,91,176
151,"Indianapolis, IN",47.83,147,177,89
152,"Fort Wayne, IN",47.63,152,143,132
153,"New Orleans, LA",47.57,164,127,76
154,"North Las Vegas, NV",47.19,157,158,99
155,"Las Vegas, NV",47.02,149,146,144
156,"Tulsa, OK",46.5,170,83,110
157,"Wilmington, DE",46.32,156,144,154
158,"Providence, RI",45.81,169,115,122
159,"New Haven, CT",45.56,131,141,182
160,"Montgomery, AL",45.48,143,176,155
161,"Baltimore, MD",44.75,148,161,177
162,"Jackson, MS",44.7,150,178,178
163,"Shreveport, LA",44.59,171,173,75
164,"Memphis, TN",44.45,146,179,156
165,"Philadelphia, PA",44.27,168,165,115
166,"Columbus, GA",44.27,174,154,109
167,"Fayetteville, NC",44.17,159,153,170
168,"Akron, OH",44.05,154,166,174
169,"Cincinnati, OH",43.5,165,145,162
170,"Fort Smith, AR",43.33,176,135,136
171,"St. Louis, MO",42.85,162,170,160
172,"Augusta, GA",42.38,175,163,106
173,"Mobile, AL",42.22,172,174,135
174,"Newark, NJ",41.86,141,182,180
175,"Huntington, WV",41.58,182,51,18
176,"Little Rock, AR",41.4,178,130,101
177,"Gulfport, MS",41.06,179,162,94
178,"Cleveland, OH",40.81,163,180,164
179,"Birmingham, AL",40.78,173,167,163
180,"Charleston, WV",39.68,180,65,93
181,"Toledo, OH",39.48,177,171,148
182,"Detroit, MI",29.19,181,181,181
